MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS
A04453,33,100000,M,F,2799996,1,TYPE-B,62,2,ANNUAL,815977,INFORCE
A04454,12,500000,M,M,380004,1,TYPE-B,46,1,ANNUAL,494877,INFORCE
A04455,12,200000,S,M,549996,1,TYPE-B,23,0,QUARTERLY,758155,INFORCE
A04456,44,125000,M,M,404340,1,TYPE-B,50,1,ANNUAL,1121599,INFORCE
A04457,27,100000,,,,1,TYPE-B,67,2,SEMI-ANNUAL,309877,CANCELLED
A04458,12,102000,,,,1,TYPE-B,44,0,ANNUAL,1094888,INFORCE
A04459,12,200000,,,,1,TYPE-B,72,0,ANNUAL,1126533,INFORCE
A04460,48,400000,M,F,450000,1,TYPE-B,47,2,QUARTERLY,343344,INFORCE
A04461,39,102000,M,M,300000,1,TYPE-B,55,2,MONTHLY,343344,INFORCE
A04462,34,500000,W,F,900000,1,TYPE-B,60,0,ANNUAL,1086188,INFORCE
A04463,28,100000,M,M,249996,1,TYPE-B,67,3,ANNUAL,1119099,CANCELLED
A04464,41,100000,M,M,3000000,1,TYPE-B,53,2,ANNUAL,978822,INFORCE
A04465,67,300000,S,M,999996,1,TYPE-B,25,0,MONTHLY,883088,CANCELLED
A04466,44,150000,S,M,999996,1,TYPE-B,50,0,ANNUAL,1112455,INFORCE
A04467,44,225000,S,M,999996,1,TYPE-B,50,0,ANNUAL,825144,INFORCE
A04468,25,200000,M,M,600000,1,TYPE-B,69,1,ANNUAL,1002099,INFORCE
A04469,17,200000,S,M,,6,TYPE-B,77,0,ANNUAL,1119955,CANCELLED
A04470,40,100000,M,F,399996,1,TYPE-B,54,3,SEMI-ANNUAL,532155,INFORCE
A04471,67,100000,S,F,399996,1,TYPE-B,25,0,SEMI-ANNUAL,343344,INFORCE
A04472,70,100000,S,F,249996,1,TYPE-B,23,0,SEMI-ANNUAL,343344,INFORCE
A04473,45,1250050,M,M,2000004,1,TYPE-B,49,3,ANNUAL,1127233,INFORCE
A04474,64,600000,M,F,800004,1,TYPE-B,28,3,ANNUAL,1127233,INFORCE
A04475,68,1250050,S,M,650004,1,TYPE-B,25,0,ANNUAL,1127233,INFORCE
A04476,27,100000,M,M,279996,1,TYPE-B,38,2,SEMI-ANNUAL,631455,INFORCE
A04477,61,200000,M,M,1500000,1,TYPE-B,33,3,ANNUAL,855466,INFORCE
A04478,44,500000,S,M,999996,1,TYPE-B,50,0,ANNUAL,825144,CANCELLED
A04479,12,200000,M,M,3000000,1,TYPE-B,52,3,ANNUAL,794088,INFORCE
A04480,27,140000,M,F,270000,1,TYPE-B,50,1,SEMI-ANNUAL,183622,INFORCE
A04481,27,120000,M,M,399996,1,TYPE-B,58,2,ANNUAL,985311,INFORCE
A04482,22,100000,M,M,1700004,1,TYPE-B,41,1,ANNUAL,86088,INFORCE
A04483,66,400000,S,M,260000004,1,TYPE-B,26,0,SEMI-ANNUAL,856300,CANCELLED
A04484,52,250000,M,M,4299996,1,TYPE-B,42,2,ANNUAL,1116788,INFORCE
A04485,17,100000,M,F,324996,1,TYPE-B,30,1,ANNUAL,599966,CANCELLED
A04486,39,142499.25,S,F,999996,1,TYPE-B,55,0,ANNUAL,1112455,INFORCE
A04487,12,200000,M,F,1500000,1,TYPE-B,51,3,ANNUAL,794088,INFORCE
A04488,32,100000,M,M,1099992,1,TYPE-B,62,3,SEMI-ANNUAL,825144,INFORCE
A04489,57,150000,M,M,350004,1,TYPE-B,38,2,SEMI-ANNUAL,233944,INFORCE
A04490,27,100000,M,M,500004,1,TYPE-B,34,2,ANNUAL,331599,INFORCE
A04491,38,100000,,,,1,TYPE-B,62,3,SEMI-ANNUAL,825144,INFORCE
A04492,32,200000,M,M,350004,1,TYPE-B,62,3,ANNUAL,867033,INFORCE
A04493,44,170000,M,M,300000,1,TYPE-B,50,3,ANNUAL,1012700,INFORCE
A04494,43,100001,M,M,189996,1,TYPE-B,51,2,ANNUAL,611844,CANCELLED
A04495,17,103146,M,F,999996,1,TYPE-B,44,1,ANNUAL,1112944,INFORCE
A04496,47,100001,M,M,189996,1,TYPE-B,47,3,ANNUAL,720444,CANCELLED
A04497,12,120000.96,M,M,350004,1,TYPE-B,38,2,MONTHLY,264866,INFORCE
A04498,27,100000,M,M,500004,1,TYPE-B,29,3,ANNUAL,1006544,CANCELLED
A04499,51,180000,M,M,879996,1,TYPE-B,44,3,ANNUAL,829977,CANCELLED
A04500,58,150000,M,M,300000,1,TYPE-B,36,2,ANNUAL,1125622,CANCELLED
A04501,22,120000.96,M,M,1200000,1,TYPE-B,47,2,MONTHLY,1079499,CANCELLED
A04502,12,100000.8,M,M,2000004,1,TYPE-B,41,1,MONTHLY,664844,INFORCE
A04503,12,102000,M,M,1400004,1,TYPE-B,43,2,SEMI-ANNUAL,769744,CANCELLED
A04504,38,700000,M,M,3000000,1,TYPE-B,57,1,ANNUAL,875300,CANCELLED
A04505,12,200000,M,M,1200000,1,TYPE-B,54,2,ANNUAL,274399,INFORCE
A04506,45,200000,M,M,1200000,1,TYPE-B,49,3,ANNUAL,304122,CANCELLED
A04507,58,240000,M,F,,4,TYPE-B,36,1,MONTHLY,348355,INFORCE
A04508,56,100000,M,F,500004,1,TYPE-B,38,2,ANNUAL,1126533,CANCELLED
A04509,64,100000,M,M,750000,1,TYPE-B,28,3,ANNUAL,47444,INFORCE
A04510,12,120000.96,,,,1,TYPE-B,39,0,MONTHLY,196522,INFORCE
A04511,12,100000,M,M,3900000,1,TYPE-B,41,3,ANNUAL,86088,INFORCE
A04512,12,100000,M,M,1299996,1,TYPE-B,39,3,ANNUAL,801377,INFORCE
A04513,27,100000,S,M,600000,1,TYPE-B,23,0,ANNUAL,1027166,INFORCE
A04514,33,130000,S,M,399996,1,TYPE-B,61,0,ANNUAL,1126955,INFORCE
A04515,47,250000,M,F,799992,1,TYPE-B,48,2,ANNUAL,343477,INFORCE
A04516,43,100000,M,M,999996,1,TYPE-B,51,3,SEMI-ANNUAL,348255,INFORCE
A04517,38,150000,M,M,500004,1,TYPE-B,57,1,ANNUAL,949722,CANCELLED
A04518,27,125000,M,M,800004,1,TYPE-B,36,1,ANNUAL,599099,INFORCE
A04519,27,100000,,,,1,TYPE-B,56,2,SEMI-ANNUAL,985244,INFORCE
A04520,58,188150,M,M,321000,1,TYPE-B,36,1,ANNUAL,832200,INFORCE
A04521,55,100000,M,M,999996,1,TYPE-B,40,1,SEMI-ANNUAL,184066,INFORCE
A04522,32,100000,M,M,,6,TYPE-B,62,3,ANNUAL,861833,INFORCE
A04523,71,100000,,,,1,TYPE-B,60,0,ANNUAL,1069899,INFORCE
A04524,12,100000,M,F,300000,1,TYPE-B,50,2,ANNUAL,733644,CANCELLED
A04525,27,100000,,,,1,TYPE-B,60,0,ANNUAL,1069899,CANCELLED
A04526,61,600000,M,F,699996,1,TYPE-B,34,1,ANNUAL,1125188,CANCELLED
A04527,28,100000,,,,1,TYPE-B,37,1,ANNUAL,1081988,INFORCE
A04528,44,500000,M,M,1200000,1,TYPE-B,50,2,ANNUAL,793255,CANCELLED
A04529,65,200000,M,F,500004,1,TYPE-B,27,3,ANNUAL,712700,INFORCE
A04530,19,150000,W,F,,6,TYPE-B,75,0,ANNUAL,343344,INFORCE
A04531,38,100000,M,M,965136,1,TYPE-B,57,3,ANNUAL,1122188,INFORCE
A04532,12,100000,M,M,1100004,1,TYPE-B,40,2,ANNUAL,810944,CANCELLED
A04533,12,120000.96,M,M,399996,1,TYPE-B,45,1,MONTHLY,837777,INFORCE
A04534,27,400000,M,M,1250004,1,TYPE-B,48,1,SEMI-ANNUAL,309877,INFORCE
A04535,27,125000,M,M,999996,1,TYPE-B,38,3,ANNUAL,1101844,INFORCE
A04536,46,250000,M,F,219996,1,TYPE-B,49,3,ANNUAL,857966,CANCELLED
A04537,39,120000,M,M,900000,1,TYPE-B,56,2,MONTHLY,17277,INFORCE
A04538,31,100000,M,M,,6,TYPE-B,64,2,ANNUAL,808977,INFORCE
A04539,12,100000,S,M,300000,1,TYPE-B,20,0,ANNUAL,456444,INFORCE
A04540,12,100000,M,M,500004,1,TYPE-B,46,1,ANNUAL,759377,INFORCE
A04541,20,100000,M,M,,6,TYPE-B,74,3,ANNUAL,343344,INFORCE
A04542,65,100000,,,,1,TYPE-B,82,0,SEMI-ANNUAL,439155,CANCELLED
A04543,65,100000,,,,1,TYPE-B,82,0,SEMI-ANNUAL,439155,CANCELLED
A04544,32,100000,M,M,500004,1,TYPE-B,63,3,ANNUAL,708300,INFORCE
A04545,28,125000,M,M,1500000,1,TYPE-B,66,1,ANNUAL,1082922,INFORCE
A04546,27,100000,M,M,450000,1,TYPE-B,40,1,ANNUAL,669400,CANCELLED
A04547,26,150000,S,M,,6,TYPE-B,69,0,ANNUAL,343477,CANCELLED
A04548,27,100000,M,M,,6,TYPE-B,67,2,QUARTERLY,343488,INFORCE
A04549,47,120000,M,M,,6,TYPE-B,47,3,SEMI-ANNUAL,309877,INFORCE
A04550,47,120000,M,M,600000,1,TYPE-B,47,2,SEMI-ANNUAL,309877,INFORCE
A04551,12,300000,M,M,2499996,1,TYPE-B,43,3,ANNUAL,735488,INFORCE
A04552,63,100000,M,F,300000,1,TYPE-B,29,2,SEMI-ANNUAL,343344,INFORCE
A04553,46,525000,M,M,2499996,1,TYPE-B,48,2,ANNUAL,923455,INFORCE
A04554,27,162000,,,,1,TYPE-B,55,0,ANNUAL,1003666,CANCELLED
A04556,51,114999.96,M,M,789996,1,TYPE-B,44,1,MONTHLY,496533,CANCELLED
A04557,38,200000,M,F,300000,1,TYPE-B,57,3,SEMI-ANNUAL,343344,INFORCE
A04558,68,100000,S,F,150000,1,TYPE-B,24,0,QUARTERLY,608188,INFORCE
A04559,56,200000,M,M,579996,1,TYPE-B,39,1,QUARTERLY,820288,INFORCE
A04560,30,150000,M,M,2000004,1,TYPE-B,65,1,ANNUAL,1123600,INFORCE
A04561,18,100000,W,F,,4,TYPE-B,76,0,ANNUAL,343344,INFORCE
A04562,59,100000,S,M,300000,1,TYPE-B,36,0,ANNUAL,343344,INFORCE
A04563,27,100000,M,M,1400004,1,TYPE-B,39,2,ANNUAL,1082366,INFORCE
A04564,27,100000,M,M,500004,1,TYPE-B,34,3,ANNUAL,1003666,INFORCE
A04565,12,100000,M,M,999996,1,TYPE-B,53,3,ANNUAL,784677,INFORCE
A04566,49,100000,M,M,699996,1,TYPE-B,45,3,ANNUAL,480466,INFORCE
A04567,23,100000,M,M,350004,1,TYPE-B,71,2,ANNUAL,220044,INFORCE
A04568,46,525000,M,M,2499996,1,TYPE-B,48,1,ANNUAL,923455,INFORCE
A04569,27,135000,M,M,650004,1,TYPE-B,36,3,ANNUAL,642044,INFORCE
A04570,27,300000,M,M,800004,1,TYPE-B,38,1,ANNUAL,1123655,INFORCE
A04571,27,500000,M,M,1200000,1,TYPE-B,67,3,ANNUAL,265077,CANCELLED
A04572,25,300000,M,M,,6,TYPE-B,69,3,SEMI-ANNUAL,309877,INFORCE
A04573,44,250000,M,F,3999996,1,TYPE-B,50,1,ANNUAL,978822,INFORCE
A04574,38,500055,M,M,1500000,1,TYPE-B,56,2,ANNUAL,657955,CANCELLED
A04575,42,500055,,,,1,TYPE-B,56,2,ANNUAL,657955,CANCELLED
A04576,12,250000,M,M,999996,1,TYPE-B,50,3,ANNUAL,626488,CANCELLED
A04577,12,400000,M,M,1500000,1,TYPE-B,30,2,SEMI-ANNUAL,47444,INFORCE
A04578,73,100001,S,M,300000,1,TYPE-B,20,0,ANNUAL,830466,INFORCE
A04579,48,100000,M,M,399996,1,TYPE-B,46,2,ANNUAL,927566,CANCELLED
A04580,32,375000,M,M,2787000,1,TYPE-B,62,1,ANNUAL,128277,INFORCE
A04581,27,100000,,,,1,TYPE-B,62,0,SEMI-ANNUAL,453433,CANCELLED
A04582,12,400003.2,M,M,3000000,1,TYPE-B,42,3,MONTHLY,883088,INFORCE
A04583,68,500000,,,,6,TYPE-B,60,0,SEMI-ANNUAL,418433,CANCELLED
A04584,49,150000,M,M,999996,1,TYPE-B,46,3,ANNUAL,951388,INFORCE
A04585,71,100000,,,,1,TYPE-B,60,0,ANNUAL,1069899,CANCELLED
A04586,57,100000,M,F,450000,1,TYPE-B,37,1,ANNUAL,989211,CANCELLED
A04587,27,100000,M,M,399996,1,TYPE-B,35,3,ANNUAL,1086188,INFORCE
A04588,17,150000,M,M,999996,1,TYPE-B,43,1,ANNUAL,600788,INFORCE
A04589,27,100000,M,M,350004,1,TYPE-B,47,3,ANNUAL,1126200,INFORCE
A04590,27,200000,M,F,2100000,1,TYPE-B,47,1,ANNUAL,1065888,INFORCE
A04591,60,150000,S,M,1899996,1,TYPE-B,35,0,ANNUAL,664844,INFORCE
A04592,21,180000,M,M,1599996,1,TYPE-B,73,3,ANNUAL,494122,INFORCE
A04593,12,100000,,,,1,TYPE-B,52,1,ANNUAL,1124999,INFORCE
A04594,46,200000,M,F,600000,1,TYPE-B,49,1,ANNUAL,1120822,INFORCE
A04595,41,200000,M,M,600000,1,TYPE-B,53,1,ANNUAL,1120822,INFORCE
A04596,48,100000,M,F,500004,1,TYPE-B,46,1,SEMI-ANNUAL,701255,INFORCE
A04597,32,100000,S,M,500004,1,TYPE-B,62,0,ANNUAL,829599,INFORCE
A04598,17,155980,M,M,699996,1,TYPE-B,41,1,ANNUAL,739199,INFORCE
A04599,50,200000,M,F,180000,1,TYPE-B,45,1,SEMI-ANNUAL,949499,INFORCE
A04600,65,100003.99,S,M,300000,1,TYPE-B,23,0,ANNUAL,500100,INFORCE
A04601,12,500000,M,M,1200000,1,TYPE-B,35,3,ANNUAL,695555,INFORCE
A04602,12,500000,M,M,1200000,1,TYPE-B,25,1,ANNUAL,695555,INFORCE
A04603,49,300000,M,F,,4,TYPE-B,46,1,MONTHLY,343344,INFORCE
A04604,17,100000,M,F,,6,TYPE-B,77,1,ANNUAL,1086188,INFORCE
A04605,56,100000,M,M,240000,1,TYPE-B,38,2,QUARTERLY,1120966,INFORCE
A04606,54,100000,M,M,300000,1,TYPE-B,40,1,QUARTERLY,1120966,INFORCE
A04607,27,100000,M,F,350004,1,TYPE-B,34,3,ANNUAL,759377,INFORCE
A04608,57,200000,M,F,800004,1,TYPE-B,37,1,ANNUAL,612999,INFORCE
A04609,36,100000,S,F,300000,1,TYPE-B,58,0,ANNUAL,900622,INFORCE
A04610,69,300000,S,M,600000,1,TYPE-B,24,0,ANNUAL,1006566,INFORCE
A04611,27,100000,M,M,500004,1,TYPE-B,43,1,ANNUAL,580755,CANCELLED
A04612,20,200000,M,M,500004,1,TYPE-B,75,3,QUARTERLY,343399,INFORCE
A04613,41,100000,M,M,2160000,1,TYPE-B,54,2,ANNUAL,1067644,INFORCE
A04614,27,275002.2,,,,1,TYPE-B,59,0,MONTHLY,825144,CANCELLED
A04615,27,275002.2,,,,1,TYPE-B,59,0,MONTHLY,825144,CANCELLED
A04616,12,100000,M,M,399996,1,TYPE-B,38,3,ANNUAL,1124788,CANCELLED
A04617,54,100000,M,M,450000,1,TYPE-B,40,2,ANNUAL,600466,CANCELLED
A04618,29,200000,M,M,499992,1,TYPE-B,65,2,ANNUAL,805888,INFORCE
A04619,17,150000,M,M,549996,1,TYPE-B,41,2,SEMI-ANNUAL,1100699,CANCELLED
A04620,12,200000,M,M,570000,1,TYPE-B,35,2,ANNUAL,587177,CANCELLED
A04621,33,100000,M,M,399996,1,TYPE-B,61,2,ANNUAL,271522,CANCELLED
A04622,71,200000,S,F,1023264,1,TYPE-B,21,0,ANNUAL,587177,INFORCE
A04623,45,100000,W,F,300000,1,TYPE-B,50,0,ANNUAL,100344,INFORCE
A04624,27,100000,M,M,260004,1,TYPE-B,36,3,ANNUAL,1129488,INFORCE
A04625,12,100000,M,M,279996,1,TYPE-B,34,3,ANNUAL,702822,INFORCE
A04626,12,105000,M,M,480000,1,TYPE-B,41,3,ANNUAL,255955,INFORCE
A04627,22,100000,M,F,1299996,1,TYPE-B,35,2,ANNUAL,883088,INFORCE
A04628,30,200000,W,F,499992,1,TYPE-B,64,0,ANNUAL,587177,CANCELLED
A04629,12,100000,M,M,500004,5,TYPE-B,47,3,ANNUAL,1031877,INFORCE
A04630,51,150000,M,M,450000,1,TYPE-B,43,2,ANNUAL,499499,INFORCE
A04631,46,150000,M,M,450000,1,TYPE-B,48,2,QUARTERLY,508522,CANCELLED
A04632,37,650000,M,M,315000,1,TYPE-B,57,2,ANNUAL,362588,INFORCE
A04633,12,100000,M,M,1500000,1,TYPE-B,60,2,ANNUAL,444333,INFORCE
A04634,45,102000,M,F,500004,1,TYPE-B,50,3,MONTHLY,17277,INFORCE
A04635,51,100000,M,M,500004,1,TYPE-B,43,3,QUARTERLY,1125966,INFORCE
A04636,27,120000,M,M,500004,1,TYPE-B,47,1,QUARTERLY,737433,CANCELLED
A04637,49,100000,M,M,350004,1,TYPE-B,45,1,QUARTERLY,1083011,INFORCE
A04638,38,200000,W,F,1290948,1,TYPE-B,56,0,ANNUAL,1048922,INFORCE
A04639,38,200000,W,F,1290948,1,TYPE-B,56,0,ANNUAL,1048922,INFORCE
A04640,68,200000,S,M,1241028,1,TYPE-B,24,0,ANNUAL,1048922,INFORCE
A04641,68,200000,S,M,1241028,1,TYPE-B,24,0,ANNUAL,1048922,INFORCE
A04642,61,100000,S,M,1299996,1,TYPE-B,33,0,ANNUAL,842644,INFORCE
A04643,38,200000,W,F,1290948,1,TYPE-B,56,0,ANNUAL,1048922,INFORCE
A04644,50,125000,M,M,300000,1,TYPE-B,44,3,ANNUAL,706733,INFORCE
A04645,25,300000,M,M,5799996,1,TYPE-B,70,3,ANNUAL,800766,INFORCE
A04646,44,125000,M,M,450000,1,TYPE-B,50,3,ANNUAL,706733,INFORCE
A04647,38,100000,M,M,549996,1,TYPE-B,57,1,ANNUAL,1076966,INFORCE
A04648,28,300000,M,F,3300000,1,TYPE-B,66,3,ANNUAL,800766,INFORCE
A04649,31,100000,M,M,,6,TYPE-B,64,3,QUARTERLY,343399,INFORCE
A04650,41,100000,M,M,2799996,1,TYPE-B,54,1,ANNUAL,739200,INFORCE
A04651,17,300000,M,M,699996,1,TYPE-B,23,1,ANNUAL,739122,CANCELLED
A04652,38,100000,M,F,420000,1,TYPE-B,57,1,ANNUAL,801155,CANCELLED
A04653,21,150000,M,M,1599996,1,TYPE-B,73,2,ANNUAL,494122,INFORCE
A04654,30,100000,M,F,249996,1,TYPE-B,64,1,ANNUAL,190233,INFORCE
A04655,49,100000,M,M,800004,1,TYPE-B,45,3,ANNUAL,309877,INFORCE
A04656,49,100000,M,M,800004,1,TYPE-B,45,2,ANNUAL,309877,INFORCE
A04657,51,100000,M,M,480000,1,TYPE-B,43,1,ANNUAL,499499,INFORCE
A04658,36,500000,M,M,1200000,1,TYPE-B,58,3,ANNUAL,215977,CANCELLED
A04659,27,100000,M,M,300000,1,TYPE-B,34,1,ANNUAL,334844,INFORCE
A04660,41,105000,M,M,350004,1,TYPE-B,53,1,ANNUAL,184844,INFORCE
A04661,27,200000,S,F,450000,1,TYPE-B,26,0,ANNUAL,584066,INFORCE
A04662,36,150000,M,M,249996,1,TYPE-B,58,2,SEMI-ANNUAL,603355,INFORCE
A04663,22,100000,M,M,699996,1,TYPE-B,37,1,ANNUAL,1074999,CANCELLED
A04664,45,125000,M,F,209448,1,TYPE-B,49,1,ANNUAL,1086188,INFORCE
A04665,45,125000,M,M,611868,1,TYPE-B,49,2,ANNUAL,1086188,INFORCE
A04666,12,180001.44,M,F,1029996,1,TYPE-B,35,1,MONTHLY,1053000,CANCELLED
A04667,52,125000,M,F,206040,1,TYPE-B,42,3,ANNUAL,1086188,INFORCE
A04668,50,100000,M,M,1299996,1,TYPE-B,44,2,ANNUAL,1129277,INFORCE
A04669,66,100000,,,,1,TYPE-B,57,1,ANNUAL,890699,INFORCE
A04670,49,100000,M,M,350004,1,TYPE-B,46,3,ANNUAL,735244,INFORCE
A04671,32,100000,M,F,999996,1,TYPE-B,62,2,ANNUAL,188777,INFORCE
A04672,66,100010,,,,1,TYPE-B,55,1,ANNUAL,890699,INFORCE
A04673,12,200000,M,M,2499996,NA,TYPE-B,45,3,ANNUAL,1002099,INFORCE
A04674,27,100000,M,M,999996,1,TYPE-B,43,2,ANNUAL,225699,CANCELLED
A04675,63,100000,S,M,350004,1,TYPE-B,29,0,ANNUAL,1102655,INFORCE
A04676,73,100000,,,,1,TYPE-B,44,0,ANNUAL,939377,CANCELLED
A04677,60,100000,M,M,499992,1,TYPE-B,34,2,ANNUAL,437477,CANCELLED
A04678,40,200000,M,M,999996,1,TYPE-B,54,1,ANNUAL,941466,CANCELLED
A04679,22,600004.8,M,M,980004,1,TYPE-B,30,3,MONTHLY,1120355,CANCELLED
A04680,39,525000,M,F,999996,1,TYPE-B,55,3,ANNUAL,806100,CANCELLED
A04681,47,100000,M,M,1500000,1,TYPE-B,48,2,ANNUAL,186899,INFORCE
A04682,12,100000,S,M,900000,1,TYPE-B,27,0,ANNUAL,33844,INFORCE
A04683,41,150000,M,F,399996,1,TYPE-B,54,1,MONTHLY,910399,INFORCE
A04684,26,187500,M,M,999996,1,TYPE-B,68,2,ANNUAL,849911,INFORCE
A04685,27,1320000,M,M,650004,1,TYPE-B,30,2,ANNUAL,956666,CANCELLED
A04686,27,111500,M,M,300000,1,TYPE-B,49,1,ANNUAL,602444,CANCELLED
A04687,27,125000,M,F,302616,1,TYPE-B,44,1,ANNUAL,939377,CANCELLED
A04688,25,100000,M,M,2600004,1,TYPE-B,70,3,ANNUAL,651966,INFORCE
A04689,12,144001.08,S,M,300000,1,TYPE-B,26,0,MONTHLY,951388,INFORCE
A04690,40,100000,M,M,1560000,1,TYPE-B,54,3,ANNUAL,843077,CANCELLED
A04691,27,150001.2,S,M,300000,1,TYPE-B,26,0,MONTHLY,750266,INFORCE
A04692,27,100000,S,M,700008,1,TYPE-B,26,0,ANNUAL,872033,CANCELLED
A04693,49,2000000,M,M,48054444,1,TYPE-B,45,1,ANNUAL,896999,INFORCE
A04694,27,100000,M,M,2700000,1,TYPE-B,46,1,ANNUAL,225699,INFORCE
A04695,17,103999.96,M,M,699996,1,TYPE-B,34,1,QUARTERLY,1121388,INFORCE
A04696,52,2000000,M,M,54050628,1,TYPE-B,43,2,ANNUAL,896999,INFORCE
A04697,52,2000000,M,M,54050628,1,TYPE-B,43,3,ANNUAL,896999,INFORCE
A04698,33,100000,M,M,350004,1,TYPE-B,61,3,ANNUAL,343344,INFORCE
A04699,42,100000,M,M,1500000,1,TYPE-B,53,2,ANNUAL,800766,INFORCE
A04700,27,115594.4,M,M,9999996,1,TYPE-A,46,1,ANNUAL,979333,INFORCE
A04701,43,200000,M,M,498996,1,TYPE-B,52,2,ANNUAL,1124200,INFORCE
A04702,34,150000,M,M,999996,1,TYPE-B,60,1,ANNUAL,1124200,INFORCE
A04703,37,100000,M,M,500004,1,TYPE-B,57,1,ANNUAL,437477,CANCELLED
A04704,56,100000,M,M,240000,1,TYPE-B,38,3,ANNUAL,1120966,INFORCE
A04705,54,100000,M,M,300000,1,TYPE-B,40,2,ANNUAL,1120966,INFORCE
A04706,56,200000,M,M,579996,1,TYPE-B,39,3,QUARTERLY,820288,CANCELLED
A04707,17,100000,M,M,600000,1,TYPE-B,41,1,ANNUAL,362588,CANCELLED
A04708,69,120000,S,M,150000,1,TYPE-B,23,0,MONTHLY,343344,INFORCE
A04709,43,100000,M,M,2499996,1,TYPE-B,51,1,ANNUAL,739200,CANCELLED
A04710,35,100000,M,M,999996,1,TYPE-B,59,2,ANNUAL,343344,INFORCE
A04711,60,100000,M,M,450000,1,TYPE-B,35,3,SEMI-ANNUAL,805899,INFORCE
A04712,61,200000,M,M,800004,1,TYPE-B,33,3,ANNUAL,832244,INFORCE
A04713,36,100000,M,M,800004,1,TYPE-B,59,1,ANNUAL,832244,CANCELLED
A04714,32,100000,M,F,200004,1,TYPE-B,62,3,ANNUAL,343411,INFORCE
A04715,60,500000,M,M,999996,1,TYPE-B,35,2,ANNUAL,739255,INFORCE
A04716,67,100000,M,M,999996,1,TYPE-B,25,2,ANNUAL,739300,CANCELLED
A04717,56,150000,M,M,999996,1,TYPE-B,39,3,ANNUAL,739255,INFORCE
A04718,12,500000,M,M,1200000,1,TYPE-B,45,2,ANNUAL,362588,CANCELLED
A04719,56,100000,M,M,750000,1,TYPE-B,38,2,ANNUAL,739299,INFORCE
A04720,52,100000,M,M,500004,1,TYPE-B,42,3,ANNUAL,1114811,CANCELLED
A04721,42,120000,M,M,999996,1,TYPE-B,52,1,MONTHLY,949499,INFORCE
A04722,12,100000,M,M,300000,1,TYPE-B,30,3,ANNUAL,1043144,CANCELLED
A04723,12,150000,M,M,360000,1,TYPE-B,48,1,QUARTERLY,1043144,INFORCE
A04724,12,100000,M,F,300000,1,TYPE-B,28,1,ANNUAL,1043144,CANCELLED
A04725,34,100000,M,M,1200000,1,TYPE-B,60,3,ANNUAL,343477,INFORCE
A04726,53,180000,M,M,300000,1,TYPE-B,41,2,MONTHLY,985288,INFORCE
A04727,12,500000,S,M,210000,1,TYPE-B,21,0,ANNUAL,1043144,CANCELLED
A04728,36,100000,M,F,1500000,1,TYPE-B,58,3,ANNUAL,537411,INFORCE
A04729,44,101350,M,F,549996,1,TYPE-B,45,3,ANNUAL,1095299,CANCELLED
A04730,34,120000,M,M,928164,1,TYPE-B,60,1,ANNUAL,898788,INFORCE
A04731,32,100000,M,M,,6,TYPE-B,62,2,ANNUAL,600788,INFORCE
A04732,12,100000,M,M,320004,1,TYPE-B,33,2,ANNUAL,70800,CANCELLED
A04733,33,100000,,,,1,TYPE-B,67,3,ANNUAL,781733,INFORCE
A04734,54,100000,M,M,699996,1,TYPE-B,40,3,ANNUAL,188777,CANCELLED
A04735,49,700000,M,M,999996,1,TYPE-B,45,1,ANNUAL,739300,CANCELLED
A04736,12,100000,D,F,500004,1,TYPE-B,43,0,ANNUAL,1082311,INFORCE
A04737,46,189363,M,M,800004,1,TYPE-B,48,1,ANNUAL,832244,INFORCE
A04738,54,100000,M,M,900000,1,TYPE-B,40,2,ANNUAL,882800,INFORCE
A04739,53,100000,M,F,6999996,1,TYPE-B,42,3,ANNUAL,882800,INFORCE
A04740,53,200000,M,M,900000,1,TYPE-B,41,2,ANNUAL,832200,INFORCE
A04741,34,100000,,,,1,TYPE-B,65,1,SEMI-ANNUAL,857022,INFORCE
A04742,46,300000,M,M,200004,1,TYPE-B,48,3,SEMI-ANNUAL,343344,CANCELLED
A04743,27,100000,M,M,249996,1,TYPE-B,67,2,ANNUAL,20900,INFORCE
A04744,12,100000,M,M,1500000,1,TYPE-B,42,2,ANNUAL,1116766,INFORCE
A04745,64,100000,M,M,399996,1,TYPE-B,28,2,ANNUAL,1082944,CANCELLED
A04746,27,175000,M,F,450000,1,TYPE-B,42,1,ANNUAL,739211,CANCELLED
A04747,37,200000,M,M,399996,1,TYPE-B,57,2,SEMI-ANNUAL,347866,INFORCE
A04748,27,110000,,,,1,TYPE-B,72,0,SEMI-ANNUAL,453433,CANCELLED
A04749,29,100000,W,F,200004,1,TYPE-B,65,0,QUARTERLY,343344,INFORCE
A04750,26,150000,M,M,399996,1,TYPE-B,68,2,SEMI-ANNUAL,343344,INFORCE
A04751,22,150000,M,M,649992,1,TYPE-B,39,3,ANNUAL,331599,INFORCE
A04752,74,100000,,,,1,TYPE-B,63,0,ANNUAL,1128388,INFORCE
